+++
RED:UKNet.rut
********************************************************
********************************************************
Probablidad de Bloqueo por usuario con 12 Long. de Onda:
Probablidad de Bloqueo total de la Red: 0.001364
********************************************************
Origen	Destino	Prob.Bloqueo	Saltos
15	5	0.007666	3.000000
15	6	0.007136	2.000000
15	7	0.006135	2.000000
15	8	0.004568	1.000000
15	9	0.008537	3.000000
15	10	0.008260	2.000000
15	11	0.006299	3.000000
15	12	0.000420	3.000000
15	13	0.000084	3.000000
15	14	0.000166	2.000000
15	15	NO TIENE
15	16	0.000000	1.000000
15	17	0.000000	1.000000
15	18	0.004325	4.000000
15	19	0.002159	2.000000
15	20	0.000084	1.000000
16	0	0.004733	3.000000
16	1	0.003454	4.000000
16	2	0.002876	4.000000
16	3	0.007362	4.000000
16	4	0.004013	5.000000
16	5	0.006688	4.000000
16	6	0.006844	3.000000
16	7	0.003007	3.000000
16	8	0.003930	2.000000
16	9	0.000594	3.000000
16	10	0.007308	3.000000
16	11	0.000334	3.000000
16	12	0.000250	2.000000
16	13	0.000253	2.000000
16	14	0.000335	1.000000
16	15	0.000000	1.000000
16	16	NO TIENE
16	17	0.000000	1.000000
16	18	0.004299	5.000000
16	19	0.001828	3.000000
16	20	0.000084	2.000000
17	0	0.001402	4.000000
17	1	0.004314	5.000000
17	2	0.002791	4.000000
17	3	0.006089	4.000000
17	4	0.007258	5.000000
17	5	0.006364	4.000000
17	6	0.007057	3.000000
17	7	0.004369	3.000000
17	8	0.004334	2.000000
17	9	0.000250	4.000000
17	10	0.008561	3.000000
17	11	0.000084	4.000000
17	12	0.000084	3.000000
17	13	0.000582	3.000000
17	14	0.000168	2.000000
17	15	0.000000	1.000000
17	16	0.000000	1.000000
17	17	NO TIENE
17	18	0.004019	5.000000
17	19	0.001672	3.000000
17	20	0.000084	2.000000
18	0	0.000000	2.000000
18	1	0.000000	1.000000
18	2	0.000000	1.000000
18	3	0.000000	1.000000
18	4	0.000000	2.000000
18	5	0.000000	2.000000
18	6	0.000084	2.000000
18	7	0.000000	3.000000
18	8	0.002611	3.000000
18	9	0.003998	4.000000
18	10	0.007009	4.000000
18	11	0.007724	5.000000
18	12	0.004706	5.000000
18	13	0.003228	3.000000
18	14	0.005400	4.000000
18	15	0.004342	4.000000
18	16	0.004963	5.000000
18	17	0.003423	5.000000
18	18	NO TIENE
18	19	0.002593	2.000000
18	20	0.004353	3.000000
19	0	0.000084	1.000000
19	1	0.000000	2.000000
19	2	0.001920	1.000000
19	3	0.000000	2.000000
19	4	0.000000	3.000000
19	5	0.000000	2.000000
19	6	0.003728	2.000000
19	7	0.000084	2.000000
19	8	0.000000	1.000000
19	9	0.004415	3.000000
19	10	0.003782	2.000000
19	11	0.002889	3.000000
19	12	0.002933	3.000000
19	13	0.003618	2.000000
19	14	0.002749	2.000000
19	15	0.001511	2.000000
19	16	0.002078	3.000000
19	17	0.000916	3.000000
19	18	0.001413	2.000000
19	19	NO TIENE
19	20	0.001772	1.000000
20	0	0.002104	2.000000
20	1	0.003621	3.000000
20	2	0.003487	2.000000
